customer_id,province_code,salary,n_child
CC_00001,CMA,52452,0
CC_00002,BKK,33289,4
CC_00003,BKK,62430,3
CC_00004,BKK,15109,3
CC_00005,CMA,33915,2
CC_00006,CMA,24664,3
CC_00007,CMA,89237,0
CC_00008,BKK,41977,1
CC_00009,CMA,61290,2
CC_00010,CMA,62107,2
CC_00011,CMA,43759,4
CC_00012,BKK,64823,1
CC_00013,CMA,83857,1
CC_00014,BKK,51208,2
CC_00015,BKK,76235,0
CC_00016,BKK,90300,2
CC_00017,BKK,74989,4
CC_00018,CMA,91165,1
CC_00019,CMA,41991,4
CC_00020,BKK,42534,3
CC_00021,BKK,18837,3
CC_00022,CMA,88389,1
CC_00023,CMA,87449,3
CC_00024,CMA,54482,1
CC_00025,BKK,18932,2
CC_00026,CMA,39436,2
CC_00027,CMA,90549,3
CC_00028,CMA,83929,1
CC_00029,BKK,30307,3
CC_00030,BKK,31195,2
CC_00031,BKK,48607,1
CC_00032,BKK,59908,0
CC_00033,BKK,43693,3
CC_00034,BKK,17325,4
CC_00035,CMA,42546,4
CC_00036,CMA,61801,3
CC_00037,BKK,57244,3
CC_00038,BKK,53926,3
CC_00039,BKK,22779,3
CC_00040,BKK,52542,4
CC_00041,BKK,32484,4
CC_00042,CMA,73114,3
CC_00043,BKK,40131,0
CC_00044,BKK,98416,3
CC_00045,CMA,72237,1
CC_00046,CMA,61701,3
CC_00047,BKK,61306,3
CC_00048,BKK,42922,1
CC_00049,BKK,65795,4
CC_00050,CMA,38332,4
CC_00051,BKK,27977,1
CC_00052,BKK,95015,4
CC_00053,CMA,69556,1
CC_00054,BKK,48045,2
CC_00055,CMA,64642,1
CC_00056,CMA,28810,3
CC_00057,BKK,82651,4
CC_00058,BKK,48632,0
CC_00059,CMA,27702,2
CC_00060,CMA,57215,2
CC_00061,BKK,93413,0
CC_00062,CMA,17132,2
CC_00063,BKK,86456,3
CC_00064,CMA,67757,0
CC_00065,CMA,94032,3
CC_00066,BKK,25540,4
CC_00067,BKK,62052,2
CC_00068,BKK,88106,4
CC_00069,CMA,37086,4
CC_00070,BKK,72663,3
CC_00071,BKK,81429,2
CC_00072,CMA,32135,3
CC_00073,BKK,47615,1
CC_00074,CMA,51513,3
CC_00075,CMA,66405,3
CC_00076,CMA,34484,3
CC_00077,BKK,62516,0
CC_00078,BKK,73617,4
CC_00079,CMA,59611,4
CC_00080,BKK,38778,4
CC_00081,BKK,31705,1
CC_00082,CMA,62100,4
CC_00083,CMA,59251,1
CC_00084,CMA,79365,2
CC_00085,CMA,28601,4
CC_00086,CMA,45722,1
CC_00087,BKK,84755,2
CC_00088,CMA,45208,1
CC_00089,BKK,31515,2
CC_00090,BKK,55980,3
CC_00091,BKK,52084,3
CC_00092,CMA,48584,3
CC_00093,BKK,75345,4
CC_00094,CMA,15680,3
CC_00095,CMA,36831,4
CC_00096,BKK,78902,2
CC_00097,BKK,92330,0
CC_00098,BKK,79702,2
CC_00099,BKK,85876,2
CC_00100,CMA,86317,2
CC_00101,BKK,68228,0
CC_00102,BKK,58852,2
CC_00103,BKK,81936,4
CC_00104,BKK,56988,0
CC_00105,CMA,38160,4
CC_00106,CMA,68425,1
CC_00107,CMA,60544,2
CC_00108,BKK,73279,1
CC_00109,BKK,90599,4
CC_00110,CMA,33588,1
CC_00111,CMA,56742,0
